,Date,Time,Location,Operator,FlightNr,Route,AC Type,Registration,SerialNr,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground,Summary,CrashLong,CrashLat,StartEnd,latStart,longStart,latEnd,longEnd
0,1908-09-17,17:18:00,"Fort Myer, Virginia",Military - U.S. Army,,Demonstration,Wright Flyer III,,1,2,1,1,1,1.0,0.0,0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.",-77.0810889,38.883541, ,,,,
1,1909-09-07,,"Juvisy-sur-Orge, France",,,Air show,Wright Byplane,SC1,0,1,0,1,1,0.0,0.0,0,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show.",2.3708618,48.692871, ,,,,
2,1912-07-12,06:30:00,"Atlantic City, New Jersey",Military - U.S. Navy,,Test flight,Dirigible,,0,5,0,5,5,0.0,5.0,0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",-74.4229266,39.3642834, ,,,,
3,1913-08-06,,"Victoria, British Columbia, Canada",Private,, ,Curtiss seaplane,,0,1,0,1,1,0.0,1.0,0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",-123.3656444,48.4284207, ,,,,
4,1913-09-09,18:30:00,Over the North Sea,Military - German Navy,, ,Zeppelin L-1 (airship),,0,20,0,0,14,0.0,0.0,0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.,3.515625,56.511018, ,,,,
5,1913-10-17,10:30:00,"Near Johannisthal, Germany",Military - German Navy,, ,Zeppelin L-2 (airship),,0,30,0,0,30,0.0,0.0,0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..",13.5039931,52.4367582, ,,,,
6,1915-03-05,01:00:00,"Tienen, Belgium",Military - German Navy,, ,Zeppelin L-8 (airship),,0,41,0,0,21,0.0,0.0,0,Crashed into trees while attempting to land after being shot down by British and French aircraft.,4.937104499999999,50.8096628, ,,,,
7,1915-09-03,15:20:00,"Off Cuxhaven, Germany",Military - German Navy,, ,Zeppelin L-10 (airship),,0,19,0,0,19,0.0,0.0,0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.",8.6879057,53.859336, ,,,,
8,1916-07-28,,"Near Jambol, Bulgeria",Military - German Army,, ,Schutte-Lanz S-L-10 (airship),,0,20,0,0,20,0.0,0.0,0,"Crashed near the Black Sea, cause unknown.",26.5035023,42.48419990000001, ,,,,
9,1916-09-24,01:00:00,"Billericay, England",Military - German Navy,, ,Zeppelin L-32 (airship),,0,22,0,0,22,0.0,0.0,0,Shot down by British aircraft crashing in flames.,0.418397,51.627903, ,,,,
10,1916-10-01,23:45:00,"Potters Bar, England",Military - German Navy,, ,Zeppelin L-31 (airship),,0,19,0,19,19,0.0,19.0,0,Shot down in flames by the British 39th Home Defence Squadron.,-0.175948,51.696636, ,,,,
11,1916-11-21,,"Mainz, Germany",Military - German Army,, ,Super Zeppelin (airship),,0,28,0,0,27,0.0,0.0,0,Crashed in a storm.,8.2472526,49.9928617, ,,,,
12,1916-11-28,23:45:00,"Off West Hartlepool, England",Military - German Navy,, ,Zeppelin L-34 (airship),,0,20,0,0,20,0.0,0.0,0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.,-1.212926,54.691745, ,,,,
13,1917-03-04,,"Near Gent, Belgium",Military - German Army,, ,Airship,,0,20,0,0,20,0.0,0.0,0,Caught fire and crashed.,3.7303351,51.0500182, ,,,,
14,1917-03-30,,Off Northern Germany,Military - German Navy,, ,Schutte-Lanz S-L-9 (airship),,0,23,0,0,23,0.0,0.0,0,Struck by lightning and crashed into the Baltic Sea.,10.451526,51.165691, ,,,,
15,1917-05-14,05:15:00,"Near Texel Island, North Sea",Military - German Navy,, ,Zeppelin L-22 (airship),,0,21,0,0,21,0.0,0.0,0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.",4.7977149,53.0547626, ,,,,
16,1917-06-14,08:45:00,"Off Vlieland Island, North Sea",Military - German Navy,, ,Zeppelin L-43 (airship),,0,24,0,0,24,0.0,0.0,0,Shot down by British aircraft.,4.955695599999999,53.26064239999999, ,,,,
17,1917-06-17,,"Near Yarmouth, England",,, ,Zepplin LZ-95 (air ship),L-48,0,16,0,0,14,0.0,0.0,0,Shot down by aircraft.,1.728047,52.598233, ,,,,
18,1917-08-21,07:00:00,Off western Denmark,Military - German Navy,, ,Zeppelin L-23 (airship),,0,18,0,0,18,0.0,0.0,0,Shot down by British aircraft.,-92.5096456,45.5699557, ,,,,
19,1917-10-20,07:45:00,"Near Luneville, France",Military - German Navy,, ,Zeppelin L-44 (airship),,0,18,0,0,18,0.0,0.0,0,Shot down by French anti-aircraft fire.,6.492338999999999,48.592237, ,,,,
20,1918-04-07,21:30:00,Over the Mediterranean,Military - German Navy,, ,Zeppelin L-59 (airship),,0,23,0,0,23,0.0,0.0,0,Exploded and crashed into the sea off the southern coast of Italy.,18.0480105,34.5531284, ,,,,
21,1918-05-10,,"Off Helgoland Island, Germany",Military - German Navy,, ,Zeppelin L-70 (airship),,0,22,0,0,22,0.0,0.0,0,"Shot down by British aircraft crashing from a height of 17,000 ft.",7.8827444,54.1833116, ,,,,
22,1918-08-11,10:00:00,"Ameland Island, North Sea",Military - German Navy,, ,Zeppelin L-53 (airship),,0,19,0,0,19,0.0,0.0,0,Shot down by british aircraft.,5.790607899999999,53.4500611, ,,,,
23,1918-12-16,,"Elizabeth, New Jersey",US Aerial Mail Service,, ,De Havilland DH-4,97,0,1,0,1,1,0.0,1.0,0,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.,-74.2107006,40.6639916, ,,,,
24,1919-05-25,,"Cleveland, Ohio",US Aerial Mail Service,, ,De Havilland DH-4,61,0,1,0,1,1,0.0,1.0,0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,-81.6943605,41.49932, ,,,,
25,1919-07-19,,"Dix Run, Pennsylvania",US Aerial Mail Service,, ,De Havilland DH-4,82,0,1,0,1,1,0.0,1.0,0,The mail plane crashed under unknown circumstances.,-77.9395179,40.9064, ,,,,
26,1919-07-21,16:55:00,"Chicago, Illinois",Wingfoot Air Express Goodyear Tire,,Shuttle,FD Type Dirigible,,0,0,0,0,3,2.0,1.0,10," The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed",-87.6297982,41.8781136, ,,,,
27,1919-08-02,,"Verona, Italy",Caproni Company,,Venice  Taliedo,Caproni Ca.48,,0,14,12,2,14,12.0,2.0,0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.,10.9916215,45.43838419999999, ,,,,
28,1919-10-02,,"Newcastle, England",Aircraft Transport and Travel,, ,De Havilland DH-4,,0,1,0,1,1,0.0,1.0,0,,-1.61778,54.978252, ,,,,
29,1919-10-14,,"Cantonsville, Maryland",US Aerial Mail Service,, ,Curtiss R-4LM,32,0,1,0,1,1,0.0,1.0,0,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods.",-76.73191609999999,39.2720509, ,,,,
30,1919-10-20,,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,, ,De Havilland DH-4,G-EAHG,0,0,0,1,0,0.0,0.0,0,Crashed into the sea while attempting to land in fog.,1.169456,51.081397, ,,,,
31,1919-10-30,,"Long Valley, New Jersey",US Aerial Mail Service,, ,De Havilland DH.4,77,77,1,0,1,1,0.0,1.0,0,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed.",-74.7801645,40.78593310000001, ,,,,
32,1919-12-11,,"Catherham, Surrey, UK",Aircraft Travel Transport,,Paris - Hounslow,de Havilland DH-4,G-EAHF,0,1,1,1,1,1.0,1.0,0,Crashed in a field while attemptting to land.,-0.08161589999999999,51.28029600000001,Paris-Hounslow,48.856614,2.3522219,51.4609218,-0.373149
33,1920-03-10,,"New Paris, Indiana",US Aerial Mail Service,, ,De Havilland DH-4,65,0,1,0,1,1,0.0,1.0,0,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area.",-85.8307059,41.5033572, ,,,,
34,1920-03-30,,"Newark, New Jersey",US Aerial Mail Service,,Washington - Newark,De Havilland DH-4,72,0,1,0,1,1,0.0,1.0,0,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.,-74.1723667,40.735657,Washington-Newark,47.7510741,-120.7401386,40.735657,-74.1723667
35,1920-04-10,,"Newark, New Jersey",US Aerial Mail Service,, ,Curtiss R-4LM,49,0,2,1,1,1,0.0,1.0,0,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.,-74.1723667,40.735657, ,,,,
36,1920-04-11,,"Heller Field, New Jersey",US Aerial Mail Service,, ,Curtiss JN-4H,44,0,2,1,1,1,0.0,1.0,0,The aircraft crashed while on approach for unknown reasons.,-74.6611769,40.93560009999999, ,,,,
37,1920-05-12,,"Oskaloosa, Iowa",US Aerial Mail Service,, ,De Havilland DH-4,79,0,2,1,1,1,1.0,0.0,0,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field.",-92.6493595,41.2916728, ,,,,
38,1920-06-06,,"Cleveland, Ohio",US Aerial Mail Service,, ,De Havilland DH-4,204,0,1,0,1,1,0.0,1.0,0,The aircraft suffered engine failure and crashed shortly after taking off.,-81.6943605,41.49932, ,,,,
39,1920-07-20,,"Cartagena, Columbia",CompaÃ±ia Colombiana de NavegaciÃ³n AÃ©rea,, ,Farman F-40,,0,1,1,1,1,1.0,1.0,0,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.,-75.4832311,10.3932277, ,,,,
40,1920-08-16,,"Bedford, England",By Air,, ,Armstrong-Whitworth F-K-8,G-EALW,0,1,0,1,1,0.0,1.0,0,The plane crashed during a cargo flight under unknown circumstances.,-0.4667782,52.1386394, ,,,,
41,1920-08-16,,"College Park, Maryland",US Aerial Mail Service,, ,De Havilland DH-4,317,0,1,0,1,1,0.0,1.0,0,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames.",-76.93776,38.9896967, ,,,,
42,1920-09-01,,"Morristown, New Jersey",US Aerial Mail Service,, ,Junkers JL-6,305,0,2,0,2,2,0.0,2.0,0,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire.",-74.4815438,40.79676670000001, ,,,,
